RespondentID,State,Region,AgeGroup,Gender,IncomeBracket,RaceEthnicity,PlanPurchase12Mo,RecentPurchasePrice,ChannelPreference,TradSlipOnBrand,HandsFreeAwareness,BrandAwarenessProxy_DistWt,DistNearestRetailerMiles,DistNearestFlagshipMiles,IsControlGroup,SawFeatureExplanation,Initial_Intent_79,Initial_Intent_99,Initial_Intent_119,Initial_Intent_139,Initial_Intent_159,Initial_Intent_179,Initial_Intent_199,Initial_Prob_79,Initial_Prob_99,Initial_Prob_119,Initial_Prob_139,Initial_Prob_159,Initial_Prob_179,Initial_Prob_199,Post_Intent_79,Post_Intent_99,Post_Intent_119,Post_Intent_139,Post_Intent_159,Post_Intent_179,Post_Intent_199,Post_Prob_79,Post_Prob_99,Post_Prob_119,Post_Prob_139,Post_Prob_159,Post_Prob_179,Post_Prob_199,ValuePerceptionPost,VW_TooCheap,VW_Bargain,VW_Expensive,VW_TooExpensive,Importance_Brand,Importance_Comfort,Importance_Durability,Importance_Fit,Importance_HandsFreeConvenience,Importance_Material,Importance_Price,Importance_Style,Top3Driver1,Top3Driver2,Top3Driver3,PrimaryUsage,MultiPurchaseLikelihood,Segment
1,SD,Midwest,18-24,Female,$25k-$49k,White,Yes,$150-$199,In-Store Primarily,Skechers,Vaguely aware of it,0.0484,57.4,65.6,1,0,4,3,3,2,2,1,1,77,56,39,12,7,0,0,4,3,3,2,2,1,1,63,58,47,25,31,4,1,,45,75,135,175,3,5,3,3,4,4,2,4,Comfort,HandsFreeConvenience,Style,Everyday casual wear,3,Premium Enthusiasts
2,PA,Northeast,25-34,Female,$100k-$149k,White,Yes,$100-$149,Online Primarily,Crocs,Vaguely aware of it,0.176,101.7,37.8,1,0,4,4,3,3,2,2,1,95,65,39,53,27,7,7,5,4,3,2,2,1,1,86,78,52,20,33,0,4,,85,100,155,175,2,5,4,3,2,3,4,2,Comfort,Durability,Price,Work/Office (casual environment),3,Value Seekers
3,MO,Midwest,18-24,Male,$75k-$99k,Black or African American,Yes,$100-$149,Online Primarily,Skechers,Never heard of it,0.01,70.2,-1.0,0,1,3,3,2,1,1,1,1,63,64,32,0,12,1,0,4,4,3,2,2,1,1,80,67,62,18,12,0,2,5.0,60,125,135,150,2,5,5,3,1,3,5,2,Durability,Price,Comfort,Everyday casual wear,3,Traditionalists
4,MN,Midwest,25-34,Male,$150k+,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,None,Very familiar,0.1972,73.7,8.8,1,0,4,4,4,3,2,2,2,95,75,62,57,26,20,12,4,4,3,3,2,2,1,76,73,63,48,36,10,2,,80,120,155,170,1,4,4,3,1,3,5,2,Price,Comfort,Durability,Everyday casual wear,1,Traditionalists
5,CA,West,25-34,Female,$100k-$149k,White,Yes,$100-$149,Equal Mix,Vans,Never heard of it,0.01,87.3,-1.0,1,0,5,4,3,3,4,2,2,100,82,57,54,69,30,4,4,4,4,3,2,2,1,91,79,79,50,37,15,3,,80,125,165,180,2,5,3,3,2,3,5,3,Comfort,Price,Style,Other,3,Value Seekers
6,FL,South,45-54,Male,Less than $25k,White,Yes,$100-$149,Online Primarily,None,Never heard of it,0.0173,65.5,-1.0,1,0,3,2,2,2,1,1,1,49,27,33,0,6,2,0,2,2,2,1,1,1,1,11,21,21,0,0,0,2,,50,60,90,100,1,5,5,3,2,3,4,3,Durability,Comfort,Price,Everyday casual wear,2,Traditionalists
7,NV,West,25-34,Male,$75k-$99k,Hispanic or Latino,No,$150-$199,In-Store Primarily,None,Never heard of it,0.0412,112.4,52.3,0,1,4,3,3,2,2,1,1,85,58,51,29,11,1,6,4,4,3,3,2,2,1,84,85,69,42,22,6,0,4.0,115,125,135,195,4,4,4,3,2,3,3,4,Comfort,Durability,Style,Everyday casual wear,3,Curious Skeptics
8,DE,South,65+,Female,$100k-$149k,White,Yes,$200 or more,Depends on Type,None,Vaguely aware of it,0.0799,124.3,60.1,1,0,3,2,2,2,2,1,1,58,25,22,23,4,0,0,3,3,2,2,1,1,1,58,60,38,12,0,0,7,,80,120,130,150,2,5,3,3,4,3,2,5,Comfort,Style,HandsFreeConvenience,Other,4,Premium Enthusiasts
9,OH,Midwest,55-64,Female,$75k-$99k,White,Yes,$100-$149,Equal Mix,Vans,Never heard of it,0.0605,100.2,131.4,1,0,3,4,2,2,1,1,1,69,64,31,29,0,0,3,4,3,2,2,1,1,1,66,59,17,32,7,5,10,,95,105,135,150,3,5,4,3,4,2,3,4,Comfort,HandsFreeConvenience,Durability,Specific activity needing convenience,4,Premium Enthusiasts
10,AR,South,25-34,Female,$100k-$149k,White,Yes,$150-$199,Online Primarily,None,Vaguely aware of it,0.0302,85.8,-1.0,0,1,3,3,2,1,1,1,1,43,46,7,3,0,0,4,3,3,2,3,1,1,1,57,44,23,36,1,0,3,3.0,55,75,110,120,3,4,4,4,4,5,3,4,Material,HandsFreeConvenience,Style,Travel,3,Interested Pragmatists
